,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
183,Darlinghurst,151.2253443,-33.87808159,91.0,14,2,0,0,4,1.0,2.0,2.0,House,Entire home/apt,244,0,0,strict_14_with_grace_period,179
864,Coogee,151.2589731,-33.918698,100.0,1,2,200,20,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,strict_14_with_grace_period,89
3561,Dee Why,151.2861426,-33.77382518,100.0,5,2,0,0,2,1.0,0.0,1.0,Cabin,Entire home/apt,14,0,0,flexible,97
784,Newtown,151.1775931,-33.90386407,93.0,32,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,313,1,0,moderate,85
1535,Bondi Junction,151.2557973,-33.8907689,93.0,9,3,500,80,4,1.0,2.0,2.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,240
3629,Merrylands,150.9937346,-33.8363293,85.0,28,2,0,210,6,2.0,2.0,3.0,Apartment,Entire home/apt,62,0,0,strict_14_with_grace_period,100
8513,Bondi Junction,151.2495466,-33.89253381,100.0,2,7,200,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,32,1,0,strict_14_with_grace_period,139
2571,Middle Cove,151.2048514,-33.78927893,93.41241287,0,4,500,160,6,2.5,3.0,5.0,House,Entire home/apt,83,0,0,flexible,275
1704,Narraweena,151.2742999,-33.75787818,100.0,3,5,500,150,7,1.0,3.0,4.0,House,Entire home/apt,362,1,0,strict_14_with_grace_period,325
8003,Strathfield,151.0764816,-33.87577525,93.0,3,21,0,0,1,1.0,1.0,1.0,House,Private room,364,0,1,moderate,35
