,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
6865,Sydney,151.170015,-33.90111182,100.0,1,7,0,0,2,2.5,1.0,1.0,House,Private room,0,0,0,flexible,50
4961,Bankstown,151.034992,-33.91815359,89.0,11,1,150,0,2,1.0,1.0,1.0,Apartment,Private room,359,0,0,moderate,85
5427,Rockdale,151.139054,-33.95362008,93.41241287,0,2,0,60,2,1.0,1.0,1.0,Apartment,Private room,88,1,0,moderate,608
3824,Homebush,151.076711,-33.86510804,97.0,32,2,0,20,3,1.0,1.0,1.0,Apartment,Private room,62,0,1,strict_14_with_grace_period,59
5894,Collaroy,151.299291,-33.73775612,93.0,7,6,1000,200,8,3.0,4.0,6.0,House,Entire home/apt,365,1,0,strict_14_with_grace_period,700
337,Glenfield,150.9002189,-33.9709932,94.0,17,1,0,15,2,1.0,1.0,1.0,House,Private room,166,0,0,moderate,46
3320,Redfern,151.2048656,-33.89254614,93.0,3,2,150,155,4,2.0,2.0,2.0,Apartment,Entire home/apt,33,0,0,strict_14_with_grace_period,150
9962,Rose Bay,151.2704525,-33.87908633,93.41241287,0,4,500,0,8,2.5,4.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,419
2519,Cronulla,151.1540257,-34.04595046,93.41241287,0,3,0,0,2,1.5,1.0,1.0,Apartment,Private room,0,0,0,flexible,53
5509,Bondi Beach,151.2741251,-33.89426275,94.0,19,2,250,60,2,1.0,0.0,2.0,Guest suite,Entire home/apt,80,0,0,strict_14_with_grace_period,349
9433,Surry Hills,151.2128288,-33.87987374,94.0,88,1,0,30,2,1.0,0.0,1.0,Apartment,Entire home/apt,47,1,0,strict_14_with_grace_period,135
3489,Forest Lodge,151.1768454,-33.88210063,100.0,1,3,350,50,4,1.0,2.0,2.0,Townhouse,Entire home/apt,0,0,0,strict_14_with_grace_period,133
1442,Newtown,151.176614,-33.89758999,100.0,7,2,250,75,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,198
2983,Cremorne,151.2299,-33.82695228,90.0,2,31,850,198,2,1.0,1.0,1.0,Apartment,Entire home/apt,349,1,0,strict_14_with_grace_period,130
975,Newtown,151.1860054,-33.8942383,93.41241287,0,7,0,0,3,1.0,2.0,2.0,House,Entire home/apt,0,0,0,flexible,100
6097,Bondi Beach,151.268348,-33.89070098,93.41241287,0,1,0,18,2,1.0,1.0,1.0,Condominium,Private room,0,1,0,moderate,32
4214,Newtown,151.1766056,-33.89521157,93.41241287,0,14,0,0,1,1.0,1.0,1.0,House,Private room,0,1,0,flexible,60
8873,Randwick,151.2370784,-33.91111742,100.0,4,3,300,80,2,1.0,1.0,1.0,Apartment,Private room,34,1,0,strict_14_with_grace_period,74
7193,Randwick,151.2513356,-33.90823117,95.0,17,2,0,40,2,1.0,1.0,1.0,Apartment,Entire home/apt,80,0,0,moderate,125
2910,Bondi,151.2614606,-33.89219033,87.0,3,4,0,0,6,1.0,2.0,3.0,Apartment,Entire home/apt,0,1,0,flexible,170
3074,Bankstown,151.0283673,-33.91286581,93.41241287,0,5,0,0,1,1.0,1.0,2.01216851,Apartment,Private room,365,0,0,flexible,76
9918,Rozelle,151.1717672,-33.86410494,90.0,31,2,0,100,6,2.0,3.0,4.0,Cottage,Entire home/apt,365,1,0,strict_14_with_grace_period,401
3777,Bondi Beach,151.2686756,-33.89175832,100.0,6,5,500,80,4,2.0,2.0,2.0,Apartment,Entire home/apt,70,1,0,strict_14_with_grace_period,252
8613,Rooty Hill,150.8293438,-33.78447608,100.0,2,1,0,40,2,1.0,1.0,1.0,Villa,Private room,364,0,0,moderate,50
6912,Marrickville,151.1430679,-33.91047797,93.41241287,0,7,0,0,4,1.0,2.0,2.0,House,Entire home/apt,0,1,0,flexible,100
9997,Newtown,151.1800787,-33.90832801,93.41241287,0,9,200,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,42,1,0,moderate,86
6340,Camperdown,151.1820036,-33.8863817,93.41241287,0,8,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,250
7049,Gordon,151.1426756,-33.75421834,93.41241287,0,1,0,30,2,2.5,1.0,1.0,House,Private room,53,1,0,moderate,59
1223,Bondi,151.2710933,-33.89637305,85.0,4,1,0,40,3,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,130
5703,Randwick,151.240251,-33.90656107,93.41241287,0,4,0,0,5,2.0,3.0,3.0,Apartment,Entire home/apt,0,0,0,flexible,401
4809,Camperdown,151.1800758,-33.88479009,93.41241287,0,3,0,0,5,2.0,3.0,3.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
8475,Bellevue Hill,151.2598182,-33.88721811,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,45
7375,Collaroy,151.298219,-33.73212589,93.41241287,0,3,0,200,4,2.0,2.0,3.0,Apartment,Entire home/apt,134,0,0,strict_14_with_grace_period,150
9090,Balgowlah Heights,151.2694474,-33.80425714,100.0,26,5,500,0,2,1.0,1.0,1.0,Loft,Entire home/apt,259,0,1,strict_14_with_grace_period,205
8458,Queenscliff,151.2835314,-33.78085372,100.0,3,3,250,150,6,3.5,4.0,4.0,House,Entire home/apt,178,0,0,flexible,650
7879,Sydney Olympic Park,151.0735922,-33.84812685,87.0,30,1,400,100,6,2.0,2.0,3.0,Apartment,Entire home/apt,76,0,0,strict_14_with_grace_period,198
6083,Putney,151.1094394,-33.82371996,95.0,41,1,300,30,3,1.0,1.0,1.0,Guesthouse,Entire home/apt,1,0,1,strict_14_with_grace_period,50
1126,Ryde,151.1050155,-33.81155621,93.41241287,0,5,0,0,2,1.0,1.0,1.0,Apartment,Shared room,0,1,0,flexible,45
9312,Bondi Beach,151.2681665,-33.89055372,93.41241287,0,2,500,50,2,2.0,1.0,1.0,Apartment,Private room,343,1,0,moderate,100
2434,Stanmore,151.1668837,-33.8893715,96.0,25,1,500,30,4,1.5,1.0,2.0,House,Private room,344,0,1,moderate,80
4877,Pyrmont,151.1977073,-33.87435315,89.0,29,1,300,70,6,2.0,2.0,4.0,Apartment,Entire home/apt,292,0,0,strict_14_with_grace_period,214
4842,Wolli Creek,151.149297,-33.92884453,98.0,15,2,0,20,2,1.0,1.0,1.0,Condominium,Private room,65,0,0,flexible,55
9218,Seaforth,151.2384874,-33.78153837,100.0,5,5,0,100,5,1.5,2.0,4.0,House,Entire home/apt,62,1,0,strict_14_with_grace_period,200
6040,Darlinghurst,151.2221954,-33.87720808,98.0,8,2,500,70,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,225
7512,Balmain,151.1734017,-33.85639361,100.0,1,5,1000,150,5,2.0,3.0,3.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,200
117,Randwick,151.2387334,-33.91534731,93.41241287,2,1,0,0,2,2.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,91
813,Rozelle,151.1722684,-33.86769824,93.41241287,0,7,0,0,5,2.5,3.0,4.0,House,Entire home/apt,0,0,0,flexible,401
4493,Fairlight,151.2794553,-33.79312132,98.0,23,2,0,20,2,1.0,0.0,1.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,139
6864,Darlinghurst,151.2189004,-33.88094675,85.0,40,1,300,50,6,1.0,2.0,3.0,Apartment,Entire home/apt,334,1,0,strict_14_with_grace_period,200
4124,Bondi,151.2706503,-33.89584366,90.0,4,3,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,60
9562,Manly,151.2834396,-33.78845074,93.41241287,1,1,0,15,2,1.0,1.0,1.0,House,Entire home/apt,0,1,0,flexible,98
8810,North Curl Curl,151.2985464,-33.76407126,96.0,28,2,0,30,2,1.0,1.0,1.0,Guest suite,Entire home/apt,72,0,1,moderate,100
9375,Coogee,151.2494594,-33.92232713,100.0,27,1,250,15,2,1.0,1.0,1.0,Apartment,Private room,25,1,1,flexible,58
3564,Chippendale,151.1973103,-33.88739923,86.0,132,1,200,95,4,1.0,1.0,2.0,Apartment,Entire home/apt,131,1,0,strict_14_with_grace_period,146
5258,Stanmore,151.1682746,-33.88963559,95.0,12,1,500,30,1,1.5,1.0,1.0,House,Private room,224,0,1,moderate,50
1878,Surry Hills,151.2133119,-33.87940477,78.0,10,6,500,210,2,1.0,1.0,1.0,Apartment,Entire home/apt,166,0,0,strict_14_with_grace_period,171
802,North Bondi,151.2822939,-33.88567626,98.0,22,3,500,0,4,2.5,2.0,3.0,House,Entire home/apt,316,1,0,strict_14_with_grace_period,349
8258,Zetland,151.2132013,-33.90393932,100.0,2,3,0,50,5,1.0,2.0,3.0,Apartment,Entire home/apt,0,1,0,flexible,150
1904,Randwick,151.241426,-33.91373228,96.0,5,5,0,70,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,moderate,130
3811,Clovelly,151.2639065,-33.91164246,100.0,5,5,2000,250,4,1.0,2.0,2.0,Apartment,Entire home/apt,36,1,0,strict_14_with_grace_period,360
2171,Parramatta,150.9989659,-33.81520548,60.0,1,1,0,0,2,1.0,1.0,2.0,Apartment,Private room,89,0,0,flexible,59
3871,Croydon,151.1131288,-33.88012379,96.0,29,1,300,100,6,2.0,3.0,5.0,Apartment,Entire home/apt,39,0,1,moderate,179
4106,Double Bay,151.2461152,-33.87605948,93.41241287,0,5,500,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,80
6189,Cammeray,151.2193987,-33.82057471,100.0,4,5,1100,150,6,2.0,3.0,4.0,Apartment,Entire home/apt,22,0,0,strict_14_with_grace_period,206
3978,Pyrmont,151.197304,-33.87343961,95.0,40,2,350,90,3,1.0,1.0,2.0,Apartment,Entire home/apt,16,1,0,moderate,189
3032,Cremorne,151.2274294,-33.82801153,93.41241287,0,1,0,0,4,1.0,2.0,2.0,Apartment,Entire home/apt,88,0,0,flexible,180
3203,Darlinghurst,151.2127887,-33.87694493,90.0,21,2,500,0,8,1.0,3.0,6.0,Apartment,Entire home/apt,270,1,0,strict_14_with_grace_period,370
3806,Queenscliff,151.2832949,-33.78287778,96.0,43,2,300,60,2,1.0,1.0,1.0,Apartment,Entire home/apt,342,0,0,strict_14_with_grace_period,179
5750,Saint Leonards,151.1941324,-33.82171749,93.41241287,1,5,200,25,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,115
669,North Bondi,151.2794705,-33.88709076,100.0,2,10,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,80
2824,Potts Point,151.2218263,-33.87145912,93.0,40,2,250,100,4,1.0,2.0,2.0,Townhouse,Entire home/apt,113,1,0,strict_14_with_grace_period,200
5792,Bellevue Hill,151.2582918,-33.88115305,93.41241287,0,4,5000,500,8,3.5,4.0,4.0,Villa,Entire home/apt,365,1,0,strict_14_with_grace_period,3000
5593,Bondi Beach,151.2726218,-33.88791485,100.0,2,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,78
9519,Wolli Creek,151.1502894,-33.93025176,95.0,4,2,0,0,1,1.0,1.0,1.0,Guest suite,Private room,0,1,1,flexible,30
7840,Sydney,151.2025902,-33.87440713,99.0,14,3,0,50,4,1.0,1.0,3.0,Apartment,Entire home/apt,145,0,0,moderate,156
1832,Asquith,151.1064435,-33.68868736,100.0,5,6,400,150,5,2.0,2.0,3.0,Apartment,Entire home/apt,14,0,0,moderate,100
5832,Surry Hills,151.2142737,-33.88152279,98.0,11,5,0,0,4,1.5,2.0,2.0,Townhouse,Entire home/apt,203,1,0,moderate,275
2648,Artarmon,151.1874964,-33.81193863,93.41241287,0,14,0,0,4,2.0,2.0,2.0,Apartment,Entire home/apt,90,0,0,flexible,290
5354,North Bondi,151.284041,-33.89353051,100.0,5,3,0,80,4,1.0,2.0,2.0,Apartment,Entire home/apt,16,1,0,flexible,185
4039,Darlington,151.1957889,-33.89103379,92.0,84,3,135,0,4,1.0,1.0,2.0,Townhouse,Entire home/apt,253,1,0,strict_14_with_grace_period,135
3238,Carlton,151.1174413,-33.97009462,100.0,23,4,200,45,2,1.0,1.0,1.0,House,Private room,179,1,0,strict_14_with_grace_period,65
4904,Woollahra,151.243396,-33.88700176,93.41241287,0,4,500,0,4,2.5,3.0,2.0,House,Entire home/apt,0,1,0,moderate,451
8512,Waverley,151.2554995,-33.90061812,93.41241287,0,3,0,0,8,3.5,5.0,6.0,House,Entire home/apt,67,0,0,flexible,1201
4330,Mosman,151.2402388,-33.82396327,93.41241287,0,2,1000,60,7,2.0,2.0,3.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,595
9996,North Bondi,151.2833824,-33.89092282,100.0,1,2,0,50,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,flexible,199
4187,Darlinghurst,151.2215928,-33.87829838,93.0,26,1,150,20,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,moderate,84
8217,Potts Point,151.2243072,-33.87382212,95.0,35,1,300,65,4,1.0,1.0,2.0,Apartment,Entire home/apt,142,0,1,strict_14_with_grace_period,130
7652,Bilgola Beach,151.3147528,-33.6420374,100.0,4,4,0,150,9,3.0,5.0,6.0,House,Entire home/apt,32,0,0,moderate,451
1210,Darlinghurst,151.2181322,-33.88118567,97.0,112,5,0,20,2,1.0,1.0,1.0,Townhouse,Private room,62,1,1,strict_14_with_grace_period,71
6496,Coogee,151.2489825,-33.9187327,95.0,14,2,300,60,4,1.0,2.0,2.0,Apartment,Entire home/apt,180,0,0,moderate,200
422,North Willoughby,151.1993565,-33.80073024,98.0,8,2,0,25,2,1.0,1.0,1.0,Guesthouse,Entire home/apt,351,0,1,moderate,150
9605,Sydney,151.2755278,-33.8873083,80.0,3,2,0,100,4,1.0,2.0,3.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,195
9400,Erskineville,151.1864759,-33.90450005,100.0,1,14,200,180,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
2989,Potts Point,151.2246186,-33.87319955,97.0,6,2,0,25,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,111
7309,Hunters Hill,151.1372308,-33.82837363,98.0,8,2,0,60,6,2.0,3.0,6.0,Townhouse,Entire home/apt,0,0,0,moderate,250
4452,Kensington,151.2223331,-33.90463071,93.0,12,3,0,0,2,1.0,1.0,1.0,Apartment,Private room,17,0,0,strict_14_with_grace_period,80
4000,Darlinghurst,151.2168727,-33.87515352,91.0,9,4,130,50,5,1.0,1.0,3.0,Loft,Entire home/apt,5,0,0,strict_14_with_grace_period,159
9224,Bondi,151.2654074,-33.89551875,100.0,3,5,200,70,2,1.0,1.0,1.0,Apartment,Entire home/apt,97,1,0,flexible,179
5069,Bondi Beach,151.2718689,-33.89323601,100.0,1,1,500,50,2,1.0,1.0,1.0,Apartment,Private room,247,1,0,strict_14_with_grace_period,111
2473,Mosman,151.243923,-33.81458959,93.0,7,3,200,90,2,1.0,1.0,1.0,Apartment,Entire home/apt,363,0,0,moderate,130
3843,Lane Cove North,151.1784729,-33.80730567,83.0,8,3,500,40,1,1.0,1.0,1.0,Apartment,Private room,0,0,0,moderate,45
499,Glenorie,151.014411,-33.57199409,20.0,1,1,0,0,2,2.0,2.0,2.0,Nature lodge,Private room,178,0,0,flexible,59
5160,Kingswood,150.7329745,-33.75984276,97.0,22,4,0,50,2,1.0,1.0,1.0,House,Private room,90,1,0,strict_14_with_grace_period,49
8775,Erskineville,151.185159,-33.90328859,100.0,4,1,0,0,1,1.0,0.0,1.0,Townhouse,Private room,0,1,0,flexible,41
5957,Camperdown,151.1802836,-33.88577401,93.41241287,1,3,0,0,3,1.0,2.0,3.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,150
2941,Avalon Beach,151.3312546,-33.634401,100.0,6,2,799,120,2,1.0,1.0,1.0,Apartment,Entire home/apt,362,1,0,strict_14_with_grace_period,210
5499,Annandale,151.1692775,-33.88298472,98.0,13,2,0,30,2,1.0,1.0,1.0,Apartment,Private room,17,1,0,moderate,59
4772,Paddington,151.2268366,-33.88680517,93.0,3,3,200,0,2,1.0,1.0,1.0,House,Private room,12,1,0,moderate,65
5525,Bondi,151.271788,-33.89560629,95.0,8,1,134,25,4,1.0,2.0,2.0,Apartment,Entire home/apt,179,1,0,strict_14_with_grace_period,299
9054,Darlinghurst,151.2129312,-33.87622716,93.0,3,2,500,0,5,1.0,0.0,3.0,Apartment,Entire home/apt,365,1,0,strict_14_with_grace_period,214
2460,Coogee,151.2579643,-33.91274382,93.41241287,0,3,0,0,2,1.0,1.0,1.0,Townhouse,Private room,0,0,0,flexible,65
544,Newtown,151.1796196,-33.90375717,93.41241287,0,4,0,0,2,1.0,1.0,1.0,House,Entire home/apt,0,1,0,flexible,95
1058,North Sydney,151.204918,-33.83575526,60.0,1,3,0,180,4,2.0,2.0,2.0,Apartment,Entire home/apt,5,0,0,moderate,190
4292,Panania,151.0034814,-33.94788203,100.0,3,1,400,50,1,1.0,1.0,1.0,House,Private room,85,0,0,flexible,40
9722,Bondi Junction,151.2592297,-33.89094665,93.41241287,0,7,0,350,5,2.0,3.0,4.0,Apartment,Entire home/apt,357,1,0,strict_14_with_grace_period,225
8640,Pyrmont,151.1930724,-33.86971007,100.0,8,2,0,180,6,2.0,2.0,2.0,Apartment,Entire home/apt,15,0,1,strict_14_with_grace_period,264
6177,Newtown,151.176705,-33.90349012,98.0,10,2,130,120,5,1.0,2.0,2.0,Apartment,Entire home/apt,122,0,0,strict_14_with_grace_period,159
9725,Annandale,151.1689445,-33.88046018,93.41241287,0,1,0,0,1,1.0,1.0,1.0,House,Private room,0,0,0,flexible,280
7555,Redfern,151.2070981,-33.8903089,80.0,2,2,375,309,7,2.0,4.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,230
2499,Darlinghurst,151.2250004,-33.87800199,100.0,3,5,500,0,2,1.0,1.0,1.0,Apartment,Private room,83,0,1,strict_14_with_grace_period,55
9867,Bondi,151.2598126,-33.8927696,93.41241287,0,4,1000,60,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,flexible,250
8474,Kurnell,151.2152315,-34.0074624,93.41241287,0,2,0,0,4,2.0,2.0,2.0,Apartment,Entire home/apt,0,0,0,moderate,380
6528,Glebe,151.1824551,-33.87445157,100.0,1,2,0,0,2,2.0,3.0,3.0,House,Private room,0,1,0,moderate,199
1262,Wollstonecraft,151.1961661,-33.83156273,97.0,6,10,150,50,1,1.0,1.0,1.0,Apartment,Private room,342,0,0,moderate,50
1142,North Bondi,151.2821298,-33.89008147,98.0,18,2,1000,0,3,1.0,2.0,2.0,Apartment,Entire home/apt,4,1,0,moderate,240
5298,Manly,151.2851307,-33.78955575,82.0,10,3,0,0,2,1.0,1.0,2.0,Guesthouse,Private room,355,0,0,moderate,89
3077,Phillip Bay,151.2350992,-33.98020932,93.41241287,2,7,800,0,6,2.0,3.0,4.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,114
2239,Chatswood,151.1771673,-33.798497,95.0,4,2,0,0,2,1.0,1.0,1.0,Boutique hotel,Private room,179,0,0,flexible,120
8880,Manly,151.2792395,-33.79599369,98.0,28,2,0,0,2,1.0,1.0,1.0,Apartment,Private room,2,0,1,strict_14_with_grace_period,90
1168,Woollahra,151.2449427,-33.88666876,93.41241287,0,7,2000,375,7,4.0,4.0,4.0,House,Entire home/apt,118,1,0,strict_14_with_grace_period,1870
4756,The Rocks,151.2073257,-33.86277507,93.41241287,0,1,0,0,2,1.0,1.0,2.0,Boutique hotel,Private room,0,1,0,strict_14_with_grace_period,180
9535,Dee Why,151.2801806,-33.75466224,93.41241287,1,2,0,0,2,1.0,1.0,1.0,Other,Private room,0,1,0,flexible,100
9853,Saint Peters,151.1710526,-33.91388724,100.0,2,4,0,0,1,1.0,1.0,1.0,House,Private room,0,0,0,flexible,38
2863,Bondi Beach,151.2735052,-33.88669506,100.0,1,3,149,49,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,moderate,183
6304,Cremorne Point,151.2266523,-33.83904338,90.0,3,2,0,0,2,1.0,1.0,1.0,Apartment,Private room,120,0,0,strict_14_with_grace_period,80
5556,Scotland Island,151.2957739,-33.63839912,98.0,10,2,0,200,12,2.0,4.0,9.0,House,Entire home/apt,364,1,0,flexible,401
9198,Mascot,151.1897074,-33.9230524,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,83
1509,Darlington,151.1916531,-33.89338822,100.0,1,2,0,40,4,1.0,2.0,2.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,281
8631,North Bondi,151.2760278,-33.88253163,100.0,1,7,2500,595,8,3.0,4.0,6.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,595
16,North Bondi,151.2804057,-33.88881462,90.0,8,2,0,100,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,179
7226,Waterloo,151.2135603,-33.90103612,93.41241287,1,1,0,30,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,moderate,100
7586,Potts Point,151.2245355,-33.87147423,93.41241287,0,2,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,moderate,95
7367,Bondi Beach,151.272135,-33.89075081,53.0,3,1,0,0,8,2.0,1.0,8.0,Hostel,Shared room,69,1,0,strict_14_with_grace_period,35
4729,Erskineville,151.1849503,-33.90401637,99.0,40,3,250,50,1,1.0,1.0,1.0,Apartment,Private room,34,1,1,flexible,63
7920,Sydney,151.2036151,-33.87568924,89.0,81,1,500,50,2,1.0,0.0,1.0,Apartment,Entire home/apt,121,1,0,strict_14_with_grace_period,111
8518,Woolloomooloo,151.2219651,-33.87479015,100.0,5,4,0,0,2,1.0,1.0,1.0,House,Private room,0,1,0,flexible,70
5948,Maroubra,151.2614175,-33.94236338,100.0,8,4,300,0,4,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,moderate,200
2413,Bondi,151.2705972,-33.89490698,100.0,1,2,0,100,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,moderate,150
6310,Bondi,151.268803,-33.89373041,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,50
7199,Gymea,151.0861538,-34.03965653,93.41241287,0,14,1000,60,6,1.5,3.0,5.0,House,Entire home/apt,364,1,0,strict_14_with_grace_period,281
2951,Bondi Beach,151.2719631,-33.8918597,93.41241287,0,7,0,40,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,moderate,174
3172,Balmain,151.1794493,-33.85967314,100.0,1,3,5000,300,8,3.0,5.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,549
8793,Manly,151.2857525,-33.80606214,93.41241287,0,5,500,150,6,2.0,3.0,3.0,Bed and breakfast,Entire home/apt,0,0,0,strict_14_with_grace_period,401
3887,Sydney,151.2120401,-33.87805432,98.0,57,2,300,50,2,1.0,1.0,1.0,Condominium,Entire home/apt,35,1,1,strict_14_with_grace_period,210
2869,Kirribilli,151.216203,-33.8502155,95.0,11,2,0,0,2,1.0,1.0,1.0,Apartment,Private room,63,0,0,flexible,66
5207,Bondi Junction,151.2482076,-33.89085927,93.41241287,1,21,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,100
6940,Bondi Beach,151.2714813,-33.88951074,93.41241287,0,4,0,0,1,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,70
8023,Erskineville,151.186752,-33.90413231,99.0,69,2,250,50,2,1.0,1.0,1.0,Apartment,Entire home/apt,161,1,1,strict_14_with_grace_period,210
7541,Surry Hills,151.2136427,-33.88635413,100.0,4,1,0,0,4,1.0,1.0,4.0,Apartment,Entire home/apt,7,1,0,flexible,150
8932,Eastwood,151.0767459,-33.78639154,93.41241287,0,2,0,0,2,2.0,1.0,1.0,House,Private room,0,0,0,flexible,35
4736,Avalon Beach,151.3217364,-33.6245473,100.0,16,5,0,35,3,1.0,2.0,2.0,Apartment,Entire home/apt,177,0,0,strict_14_with_grace_period,200
1341,Avalon Beach,151.3354402,-33.61841233,93.41241287,2,5,1000,100,8,2.0,5.0,6.0,House,Entire home/apt,63,1,0,strict_14_with_grace_period,500
842,Randwick,151.2517997,-33.90485911,93.41241287,0,7,0,0,4,1.0,2.0,2.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,300
9597,North Narrabeen,151.2917706,-33.70738369,100.0,2,3,0,250,7,2.5,4.0,4.0,House,Entire home/apt,197,1,0,flexible,320
1874,Surry Hills,151.2118763,-33.88653899,95.0,8,4,0,60,4,1.0,2.0,2.0,Apartment,Entire home/apt,17,1,0,flexible,150
5344,Randwick,151.2475939,-33.91309,93.41241287,0,7,300,50,6,1.0,2.0,2.0,Apartment,Entire home/apt,0,1,0,flexible,235
954,Summer Hill,151.133849,-33.89305237,85.0,4,1,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,100
1935,Bondi,151.2711147,-33.89521714,90.0,5,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,1,0,flexible,100
5901,Bondi Junction,151.2479364,-33.89429773,93.41241287,0,10,0,0,7,1.0,3.0,3.0,House,Entire home/apt,90,0,0,flexible,500
3979,Riverwood,151.0504351,-33.94817378,94.0,30,2,0,85,8,2.0,4.0,6.0,Guest suite,Entire home/apt,140,0,0,moderate,120
9784,Maroubra,151.2481693,-33.94957469,93.41241287,0,3,0,0,2,3.0,1.0,1.0,House,Shared room,0,0,0,flexible,85
5961,Paddington,151.2214833,-33.88028966,95.0,4,2,0,0,6,2.0,3.0,3.0,House,Entire home/apt,0,1,1,strict_14_with_grace_period,300
1274,Woollahra,151.2414653,-33.88852117,93.0,3,2,130,20,1,1.0,1.0,1.0,House,Private room,0,0,0,moderate,65
379,Petersham,151.1524711,-33.89680873,100.0,3,4,0,25,4,1.0,2.0,2.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,130
6502,Hurstville Grove,151.0926211,-33.97391158,97.0,7,1,0,0,2,1.5,1.0,2.0,House,Private room,180,0,0,strict_14_with_grace_period,76
9990,Hurstville,151.1015227,-33.96854361,93.41241287,0,1,0,0,2,1.0,1.0,1.0,Apartment,Private room,0,0,0,flexible,70
8272,Seaforth,151.2397805,-33.79811542,100.0,1,7,2000,200,8,2.5,4.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,549
9100,Dee Why,151.2921192,-33.75335468,80.0,2,14,0,0,2,1.0,1.0,1.0,Apartment,Private room,76,0,0,flexible,45
5698,Meadowbank,151.0906311,-33.81690543,93.41241287,0,1,200,15,1,1.0,1.0,1.0,Apartment,Private room,84,0,0,moderate,94
7275,Clovelly,151.2632512,-33.911057,93.41241287,0,7,5000,387,8,3.5,4.0,4.0,House,Entire home/apt,347,1,0,strict_14_with_grace_period,2069
4297,Surry Hills,151.2154851,-33.88381311,95.0,22,2,1000,125,4,1.0,2.0,2.0,Guest suite,Entire home/apt,323,0,0,strict_14_with_grace_period,299
3164,Bondi Junction,151.2526553,-33.89187048,93.0,3,28,250,109,2,1.0,1.0,1.0,Apartment,Entire home/apt,94,0,0,strict_14_with_grace_period,200
9387,Redfern,151.2116142,-33.89669838,80.0,1,3,0,50,4,1.0,2.0,2.0,House,Entire home/apt,0,1,0,strict_14_with_grace_period,350
5647,Chippendale,151.1984668,-33.88782781,93.0,45,1,0,10,3,1.0,1.0,1.0,House,Private room,334,1,0,flexible,105
