city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Randwick,151.2449449,-33.91399446,80,2,7,0,75,4,1,2,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,155
Bondi,151.2662561,-33.8921606,100,1,2,200,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,57
Kingsford,151.2276678,-33.92354987,93.41241287,0,20,0,0,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,54
Queens Park,151.2450026,-33.89631816,96,58,2,0,30,2,1.5,1,1,House,Private room,89,1,1,moderate,80
Wolli Creek,151.1521989,-33.93054536,100,3,10,0,0,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,64
Macquarie Park,151.1124253,-33.78065911,100,2,1,0,30,2,1,1,1,Apartment,Private room,280,0,0,flexible,98
Mascot,151.1951076,-33.92884934,87,3,4,0,75,2,1,2,1,Apartment,Entire home/apt,0,0,0,moderate,110
Surry Hills,151.2124594,-33.8838947,93.41241287,0,14,0,0,4,2.5,2,2,Townhouse,Entire home/apt,364,1,0,strict_14_with_grace_period,349
Strathfield,151.0915036,-33.86595346,90,3,2,300,20,3,1,1,2,Apartment,Private room,0,0,0,moderate,70
Saint Leonards,151.1986267,-33.82230615,100,1,1,0,0,2,1.5,1,1,Apartment,Private room,0,1,0,flexible,80
Leichhardt,151.1583639,-33.88661394,100,1,5,129,0,1,1,1,1,Apartment,Private room,0,1,0,flexible,37
Manly,151.2841708,-33.79527107,90,4,1,0,0,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,64
Rhodes,151.0870476,-33.82418147,98,8,1,200,0,2,1,1,1,Apartment,Private room,187,1,0,flexible,70
Paddington,151.2287142,-33.88884527,84,5,3,0,0,2,1,1,1,Apartment,Entire home/apt,3,1,0,strict_14_with_grace_period,200
Alexandria,151.1899921,-33.89876723,100,8,7,0,139,4,1,2,2,Apartment,Entire home/apt,296,0,0,moderate,250
Belmore,151.0826742,-33.9097506,93.41241287,0,2,0,0,1,1,1,1,Townhouse,Private room,364,1,0,flexible,125
Burwood,151.0978558,-33.87897103,82,22,2,200,0,4,1.5,1,4,House,Shared room,76,1,0,strict_14_with_grace_period,90
Seaforth,151.2447049,-33.79192505,100,14,2,0,50,2,1,1,1,Guesthouse,Entire home/apt,45,1,0,flexible,100
Manly,151.2866912,-33.79209529,100,1,12,0,0,6,3,3,3,House,Entire home/apt,64,1,0,moderate,750
Chippendale,151.2030829,-33.88510588,100,1,1,199,74,4,1,0,2,Apartment,Entire home/apt,53,1,0,strict_14_with_grace_period,119
Saint Leonards,151.1942971,-33.8204237,96,24,1,500,65,4,2,2,2,Apartment,Entire home/apt,5,1,1,flexible,229
Balmain,151.1807936,-33.86092726,99,47,3,0,50,6,2,3,3,House,Entire home/apt,291,0,1,flexible,198
Mosman,151.2476793,-33.81505198,100,2,7,0,150,6,1,3,3,House,Entire home/apt,40,0,0,strict_14_with_grace_period,550
McMahons Point,151.2049101,-33.84588802,80,2,2,2000,40,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,250
Strathfield,151.0914726,-33.8716822,93.41241287,0,2,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,28
Sydney,151.2085488,-33.87723867,93,3,7,250,150,2,1,1,1,Apartment,Entire home/apt,355,0,0,strict_14_with_grace_period,179
Kogarah,151.1349492,-33.96497353,80,3,1,0,10,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,60
Pyrmont,151.1964482,-33.87040277,99,16,2,500,30,2,1,1,1,Apartment,Private room,0,0,1,moderate,120
Roseville,151.1892536,-33.78003265,93.41241287,0,5,0,0,7,1,4,5,House,Entire home/apt,0,0,0,flexible,300
Bondi Beach,151.2711685,-33.8923243,93.41241287,0,2,0,25,3,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,94
Petersham,151.163941,-33.88963227,95,4,14,0,100,7,2,3,6,House,Entire home/apt,238,0,0,strict_14_with_grace_period,200
Paddington,151.2206097,-33.8814319,87,4,3,500,0,2,1,1,1,House,Private room,248,1,0,flexible,169
Rozelle,151.1726551,-33.86297195,97,48,14,0,35,2,1,1,1,House,Entire home/apt,365,0,0,strict_14_with_grace_period,170
Randwick,151.2515781,-33.90612393,100,3,15,300,120,6,1.5,3,3,House,Entire home/apt,36,0,0,moderate,240
Surry Hills,151.2102488,-33.88612002,95,4,6,850,30,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,95
Mascot,151.1883682,-33.92936692,89,34,2,250,200,13,3,4,4,Apartment,Entire home/apt,87,0,0,moderate,550
Newtown,151.1771449,-33.90070738,100,1,4,0,0,2,1.5,1,1,Townhouse,Private room,156,0,0,flexible,80
Glebe,151.1833424,-33.88081195,93.41241287,0,1,0,0,2,2.5,1,1,Townhouse,Private room,0,1,0,moderate,120
Coogee,151.2582469,-33.91912334,96,45,2,350,100,5,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,264
Cronulla,151.1628159,-34.04086281,97,65,2,0,0,3,0,1,2,Apartment,Entire home/apt,177,0,1,moderate,80
North Curl Curl,151.2888752,-33.7636485,96,10,4,500,150,7,2,4,4,House,Entire home/apt,181,1,0,moderate,349
Kurraba Point,151.2248382,-33.84508986,94,7,10,200,121,4,1,1,1,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,187
