city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Surry Hills,151.2127337,-33.88081989,100,3,4,500,100,4,2,2,2,Apartment,Entire home/apt,179,1,0,strict_14_with_grace_period,401
Haymarket,151.2028152,-33.87976551,89,35,4,300,70,2,1,1,1,Apartment,Entire home/apt,83,0,0,strict_14_with_grace_period,130
Darlinghurst,151.2171722,-33.87466131,95,30,1,0,0,2,1,1,1,House,Private room,0,1,0,strict_14_with_grace_period,149
Forest Lodge,151.1878724,-33.8760922,93.41241287,1,1,0,0,2,3,1,2,Apartment,Shared room,0,0,0,flexible,80
Rozelle,151.1722684,-33.86769824,93.41241287,0,7,0,0,5,2.5,3,4,House,Entire home/apt,0,0,0,flexible,401
Kirrawee,151.0675231,-34.04164354,97,171,2,0,0,2,1,1,1,Apartment,Entire home/apt,233,0,1,strict_14_with_grace_period,94
North Bondi,151.2718415,-33.88219512,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,76
"McMahons Point, Sydney",151.2046025,-33.84753886,93.41241287,0,14,750,0,1,1,1,1,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,275
Chippendale,151.1969467,-33.88696878,100,2,14,0,0,2,1,1,1,House,Private room,55,1,0,strict_14_with_grace_period,89
Redfern,151.2141979,-33.89406359,90,2,1,0,0,2,1.5,1,1,Apartment,Private room,0,0,0,flexible,74
Cronulla,151.1522401,-34.05539158,94,7,3,300,80,4,1,1,4,Apartment,Entire home/apt,0,0,0,moderate,120
Bronte,151.2668045,-33.90730055,98,13,3,500,75,4,2,2,3,House,Entire home/apt,0,1,0,strict_14_with_grace_period,230
Bondi Beach,151.2732743,-33.88785302,93.41241287,0,2,0,20,2,1,1,1,Apartment,Private room,356,1,0,strict_14_with_grace_period,50
Milsons Point,151.2105083,-33.84640404,93.41241287,0,3,0,0,4,2,2,2,Apartment,Entire home/apt,0,0,0,flexible,800
Glebe,151.1924134,-33.87899813,80,1,1,0,0,4,1,2,2,Apartment,Entire home/apt,0,0,0,flexible,110
Waterloo,151.2128737,-33.89800797,80,2,2,0,0,2,1,1,1,Apartment,Private room,0,1,0,flexible,175
Paddington,151.2264026,-33.87893961,93.41241287,0,7,0,100,4,1,2,2,House,Entire home/apt,363,0,0,strict_14_with_grace_period,500
North Sydney,151.2063596,-33.83591631,93.41241287,0,14,300,200,2,1,1,1,Apartment,Entire home/apt,173,1,0,flexible,150
Cranebrook,150.7040912,-33.72878268,100,7,7,500,0,7,1.5,2,5,Townhouse,Entire home/apt,365,0,0,strict_14_with_grace_period,200
North Bondi,151.2835663,-33.88959735,98,37,1,0,19,2,1,1,1,Apartment,Private room,142,1,0,moderate,100
Surry Hills,151.2145483,-33.8875961,94,51,8,750,129,2,1,0,1,Condominium,Entire home/apt,323,0,1,strict_14_with_grace_period,148
Manly Vale,151.2705986,-33.78395363,93.41241287,0,1,300,89,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,200
Rozelle,151.1745298,-33.86721864,92,18,3,350,195,6,2,3,4,House,Entire home/apt,288,0,0,moderate,225
North Sydney,151.2046701,-33.83655205,93.41241287,0,14,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,110
Newtown,151.1774495,-33.90720368,100,13,1,0,55,2,1,1,1,House,Private room,0,1,0,moderate,100
Sydney,151.2074242,-33.87730018,80,2,14,500,201,2,1,1,1,Apartment,Entire home/apt,32,0,0,strict_14_with_grace_period,161
Bellevue Hill,151.2642865,-33.88691412,98,10,2,128,70,3,1,1,1,Apartment,Entire home/apt,358,1,0,strict_14_with_grace_period,117
Cherrybrook,151.0482677,-33.71645992,100,2,2,0,0,4,2.5,4,3,House,Entire home/apt,0,0,0,flexible,99
Rose Bay,151.2688586,-33.87272731,91,15,1,0,30,2,1,1,1,Apartment,Private room,364,0,0,strict_14_with_grace_period,80
Chippendale,151.2030268,-33.88473797,93,171,1,800,79,4,1,1,2,Apartment,Entire home/apt,192,1,0,strict_14_with_grace_period,150
Kirribilli,151.218483,-33.84952163,86,7,3,250,185,2,1,1,1,Apartment,Entire home/apt,159,0,0,strict_14_with_grace_period,130
Balmain,151.172691,-33.85695232,75,4,3,250,235,4,1,2,3,Villa,Entire home/apt,54,0,0,strict_14_with_grace_period,179
Bondi Beach,151.2737193,-33.885208,100,1,5,0,0,2,1,1,1,Apartment,Private room,0,1,0,flexible,71
Randwick,151.2517997,-33.90485911,93.41241287,0,7,0,0,4,1,2,2,House,Entire home/apt,0,0,0,strict_14_with_grace_period,300
Surry Hills,151.2132819,-33.89020342,93.41241287,0,6,0,0,2,1,1,1,House,Private room,0,0,0,flexible,41
Berrilee,151.1035473,-33.61684045,100,3,1,0,0,2,1,1,1,Bed and breakfast,Private room,36,0,0,flexible,220
Bilgola Plateau,151.3093584,-33.64519339,80,3,1,0,0,6,1,3,4,House,Entire home/apt,0,0,0,flexible,250
Terrey Hills,151.2205967,-33.67960941,100,2,5,500,100,6,2,4,5,House,Entire home/apt,156,0,0,strict_14_with_grace_period,200
Manly,151.2782235,-33.79903235,99,78,4,200,150,2,1,1,1,Apartment,Entire home/apt,265,1,1,strict_14_with_grace_period,150
Darlinghurst,151.2189017,-33.88110091,85,11,2,300,257,12,2,5,6,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,317
Burwood,151.1116042,-33.87267976,93.41241287,0,1,0,0,4,2,4,4,Townhouse,Entire home/apt,0,1,0,flexible,150
North Bondi,151.2760162,-33.88490664,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,0,1,0,flexible,74
Bronte,151.2639426,-33.89899595,100,3,4,0,230,9,2,4,0,House,Entire home/apt,170,1,0,strict_14_with_grace_period,550
Randwick,151.2469275,-33.91170418,93.41241287,0,1,400,20,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,58
Pyrmont,151.1947163,-33.87475687,93.41241287,0,8,0,75,4,2,2,2,Apartment,Entire home/apt,0,1,0,flexible,399
Cremorne,151.2306712,-33.82098553,100,2,2,0,0,2,1.5,1,1,Apartment,Entire home/apt,187,0,0,moderate,200
Newtown,151.1791688,-33.89624733,93.41241287,0,7,500,250,6,3,4,4,House,Entire home/apt,83,0,0,strict_14_with_grace_period,750
Maroubra,151.2515632,-33.95264095,100,6,2,0,70,4,1,2,2,Apartment,Entire home/apt,97,1,0,strict_14_with_grace_period,401
Sydney,151.2073117,-33.86315975,82,33,3,1000,130,2,1,1,1,Apartment,Entire home/apt,176,1,0,strict_14_with_grace_period,161
Curl Curl,151.2893264,-33.76074538,93.41241287,0,1,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,28
Bondi Beach,151.2739909,-33.89028369,100,2,8,1000,150,4,2,2,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,451
Narrabeen,151.295996,-33.71798915,73,3,3,0,0,3,1,2,2,Apartment,Entire home/apt,0,0,0,flexible,91
Hurstville,151.1008324,-33.97001734,93.41241287,0,1,0,0,2,1,1,1,House,Private room,0,0,0,flexible,62
Wolli Creek,151.1504784,-33.93069624,93.41241287,1,7,0,0,1,2,1,1,Apartment,Private room,365,0,0,flexible,120
North Narrabeen,151.2959697,-33.70657099,73,5,3,200,50,2,1,0,1,Apartment,Entire home/apt,89,1,0,flexible,120
Coogee,151.2589731,-33.918698,100,1,2,200,20,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,89
Ultimo,151.1972703,-33.87949074,92,40,2,149,65,4,1,1,2,Condominium,Entire home/apt,85,0,0,strict_14_with_grace_period,169
Palm Beach,151.3197223,-33.59906178,93.41241287,0,2,1000,400,10,3,3,4,House,Entire home/apt,363,0,0,strict_14_with_grace_period,1250
Rosebery,151.2035968,-33.91085207,94,8,2,150,50,2,1,1,1,Apartment,Private room,78,0,0,strict_14_with_grace_period,98
Sydney,151.2091245,-33.87771529,93,9,2,0,0,4,1,1,2,Resort,Entire home/apt,0,1,0,strict_14_with_grace_period,173
Newtown,151.1776952,-33.89875874,93.41241287,1,2,200,20,1,1,1,1,Apartment,Private room,88,0,0,moderate,45
Caringbah,151.1164109,-34.04055179,95,20,1,0,0,2,1,0,1,Villa,Entire home/apt,4,1,0,moderate,62
Bronte,151.26516,-33.89881095,93.41241287,0,3,0,100,6,2,3,3,Apartment,Entire home/apt,0,1,0,flexible,501
Bondi,151.263572,-33.89149292,100,2,3,300,60,3,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,161
Sydney ,151.3018903,-33.74143333,80,1,5,1000,300,9,2.5,5,9,House,Entire home/apt,358,1,0,strict_14_with_grace_period,695
Rose Bay,151.2565824,-33.87666039,100,4,1,0,20,4,1,1,1,Apartment,Entire home/apt,364,0,0,flexible,229
The Rocks,151.2015514,-33.86085404,100,9,3,200,200,4,1,2,3,Townhouse,Entire home/apt,195,0,0,strict_14_with_grace_period,295
Hornsby,151.10261,-33.683197,93,27,1,0,18,4,2,5,6,House,Private room,365,0,0,moderate,65
Mosman,151.2327916,-33.83905765,100,10,6,150,100,2,1,0,1,Apartment,Entire home/apt,126,0,0,moderate,144
Drummoyne,151.15955,-33.85235762,90,31,3,0,25,2,2,1,1,House,Private room,359,1,0,strict_14_with_grace_period,74
Erskineville,151.1830876,-33.90701106,100,1,4,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,150
Bondi Beach,151.272565,-33.8879621,91,7,2,300,60,3,1,1,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,95
Bonnyrigg,150.8913732,-33.88405066,93,16,1,0,30,3,1,1,1,Apartment,Private room,344,1,0,moderate,45
Surry Hills,151.2091223,-33.8853002,91,46,1,750,75,3,1,1,2,Apartment,Entire home/apt,125,0,0,strict_14_with_grace_period,150
Hurstville,151.1138464,-33.96956814,97,42,1,400,30,3,1,1,1,House,Private room,90,0,1,flexible,50
Zetland,151.2094835,-33.90812656,93.41241287,0,14,300,40,2,1.5,1,1,Apartment,Private room,31,0,0,strict_14_with_grace_period,98
Potts Point,151.2254042,-33.87185964,93,6,3,150,40,2,1,1,1,Apartment,Entire home/apt,365,0,0,strict_14_with_grace_period,125
Coogee,151.2548484,-33.92662131,93.41241287,0,5,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,83
Marrickville,151.1458234,-33.91323677,100,1,7,0,0,2,1,1,1,House,Private room,0,0,0,flexible,41
Pymble,151.1359218,-33.76013524,97,8,3,400,100,8,2.5,4,5,House,Entire home/apt,350,1,0,strict_14_with_grace_period,390
Bundeena,151.1562531,-34.08356898,97,29,2,500,0,8,1,3,5,House,Entire home/apt,319,1,1,strict_14_with_grace_period,260
"Campbelltown, New South Wales, AU",150.7811991,-34.07032664,85,4,1,550,169,8,1,2,4,House,Entire home/apt,197,1,0,moderate,125
Edgecliff,151.2340703,-33.87640586,93.41241287,0,4,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,161
"Coogee, New South Wales, Australia",151.2538611,-33.91926583,95,22,2,250,25,1,1,1,1,Apartment,Private room,131,1,1,strict_14_with_grace_period,55
Bayview,151.2884285,-33.65531541,80,1,2,500,90,4,2.5,3,2,House,Entire home/apt,173,0,0,moderate,380
North Bondi,151.2824221,-33.89075723,100,1,7,600,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,401
Bellevue Hill,151.257207,-33.8855462,96,5,5,400,60,4,1,2,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
Manly,151.2863968,-33.80318368,90,2,3,0,150,6,2,3,4,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,549
Willoughby,151.1950356,-33.80422278,93.41241287,0,7,2500,200,6,3.5,4,4,House,Entire home/apt,0,1,0,strict_14_with_grace_period,649
North Curl Curl,151.2890993,-33.75930332,100,1,7,2000,250,12,2.5,6,7,House,Entire home/apt,0,1,0,strict_14_with_grace_period,1000
Woollahra,151.2385131,-33.8882816,90,2,5,1000,200,4,1,2,0,Apartment,Entire home/apt,58,1,0,strict_14_with_grace_period,275
Bondi,151.270501,-33.89691704,93.41241287,0,9,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,70
Clovelly,151.258741,-33.90956839,100,1,7,1500,250,8,2.5,4,8,House,Entire home/apt,358,0,0,strict_14_with_grace_period,800
Cremorne,151.2295735,-33.83095306,93.41241287,0,1,0,0,1,1,1,1,Apartment,Private room,87,0,0,flexible,59
Camperdown,151.1779235,-33.88595618,100,2,14,0,0,2,1,1,1,Apartment,Entire home/apt,58,1,0,flexible,80
Haymarket,151.2061028,-33.87873198,87,54,1,380,100,6,1.5,2,3,Apartment,Entire home/apt,43,0,0,strict_14_with_grace_period,200
Balgowlah,151.2598364,-33.78878388,80,4,2,1000,149,8,1,3,5,House,Entire home/apt,74,0,0,moderate,395
Sydney Olympic Park,151.0723065,-33.84836196,96,54,2,500,75,4,1,1,2,Apartment,Entire home/apt,5,0,0,strict_14_with_grace_period,125
Bayview,151.2918212,-33.65870314,98,10,1,0,0,2,1,1,1,House,Private room,171,0,0,flexible,85
Surry Hills,151.215598,-33.88412794,100,1,1,0,100,4,1.5,2,2,House,Entire home/apt,364,0,0,strict_14_with_grace_period,550
Bondi Beach,151.2744361,-33.88935093,98,89,2,250,126,2,1,1,1,Apartment,Entire home/apt,131,0,1,moderate,179
Double Bay,151.2474238,-33.8722292,99,28,2,300,144,4,1,2,2,Apartment,Entire home/apt,179,1,1,strict_14_with_grace_period,169
Pyrmont,151.1954921,-33.87253702,100,2,2,0,55,2,1,1,1,Apartment,Entire home/apt,0,1,1,flexible,147
Artarmon,151.1862276,-33.8125607,80,2,1,250,50,5,2,2,4,Apartment,Entire home/apt,0,1,0,flexible,150
Meadowbank,151.0919715,-33.8153205,88,18,3,0,85,5,1,1,3,Apartment,Entire home/apt,3,0,0,strict_14_with_grace_period,80
Erskineville,151.1846314,-33.9037365,97,46,3,0,20,2,1,1,1,Townhouse,Private room,76,1,1,moderate,59
Queenscliff,151.2850534,-33.78264603,91,57,2,500,110,2,1,1,1,Apartment,Entire home/apt,336,0,0,strict_14_with_grace_period,140
Bondi Beach,151.2720455,-33.89491793,92,46,2,400,70,3,1,1,1,Apartment,Entire home/apt,23,0,0,moderate,130
Bondi Beach,151.2731744,-33.89358507,93.41241287,0,4,1000,100,4,2,2,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,725
Hornsby,151.0999978,-33.69498677,89,13,2,0,0,3,1,3,3,House,Private room,357,0,0,strict_14_with_grace_period,65
Bondi Junction,151.250113,-33.8976309,93.41241287,0,2,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,60
Enmore,151.1655159,-33.89940439,96,56,1,150,0,2,2.5,0,1,House,Entire home/apt,359,0,0,moderate,144
Croydon Park,151.1141896,-33.89391271,100,3,1,0,0,2,1.5,1,2,House,Private room,364,0,0,flexible,65
Redfern,151.1976176,-33.8908138,93.41241287,1,2,150,100,4,2,2,2,House,Entire home/apt,174,0,0,strict_14_with_grace_period,214
Burwood,151.1012807,-33.87064966,92,5,2,0,0,3,1,1,2,Apartment,Entire home/apt,133,1,0,flexible,90
Bondi Beach,151.263629,-33.88970333,98,40,2,295,125,4,1,2,2,Apartment,Entire home/apt,323,1,1,strict_14_with_grace_period,287
Sylvania,151.1037602,-34.01450368,90,4,2,0,30,2,2.5,1,1,House,Private room,88,0,0,flexible,59
Randwick,151.2362292,-33.9172954,93.41241287,0,1,0,30,2,1,1,1,Apartment,Private room,0,0,0,moderate,80
Lane Cove North,151.1724544,-33.80888434,100,1,7,0,60,4,2.5,2,2,House,Entire home/apt,173,1,0,strict_14_with_grace_period,262
North Bondi,151.2831406,-33.88762914,93.41241287,0,5,1500,400,9,4,4,6,House,Entire home/apt,0,1,0,strict_14_with_grace_period,800
Coogee,151.2515023,-33.91808449,98,41,2,350,85,2,1,1,1,Apartment,Entire home/apt,51,0,1,strict_14_with_grace_period,135
Vaucluse,151.2825286,-33.85832889,100,1,5,3000,150,5,2,3,3,House,Entire home/apt,363,1,0,strict_14_with_grace_period,550
Manly,151.290301,-33.80119831,100,3,2,1000,80,4,1,2,3,Apartment,Entire home/apt,0,0,0,moderate,100
Sydney,151.2640068,-33.89281052,96,49,10,300,100,2,1,1,1,Apartment,Entire home/apt,253,1,0,strict_14_with_grace_period,111
Randwick,151.2401095,-33.92241023,100,1,7,200,100,2,1,1,1,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,85
Erskineville,151.1815495,-33.90576412,97,146,2,0,0,2,1,1,1,Apartment,Entire home/apt,278,1,0,moderate,175
Randwick,151.2370281,-33.91334139,100,2,2,0,20,1,1,1,2,Apartment,Private room,25,1,0,flexible,62
Bellevue Hill,151.2585667,-33.88762984,90,3,3,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,50
Dee Why,151.284918,-33.75468416,100,8,5,134,30,2,1,1,1,Apartment,Private room,119,1,0,flexible,65
Paddington,151.2183675,-33.88479626,98,27,2,300,85,4,1,2,2,Apartment,Entire home/apt,68,0,1,moderate,210
Alexandria,151.1949151,-33.89892163,99,27,3,0,10,2,1,1,1,House,Private room,129,0,1,moderate,55
Redfern,151.1993002,-33.89258699,96,5,1,0,0,2,2,1,1,Apartment,Private room,0,0,0,flexible,91
Pyrmont,151.1961731,-33.87249999,60,1,6,0,0,4,1,2,2,Apartment,Private room,0,1,0,flexible,200
Epping,151.0896299,-33.77237233,96,23,1,0,50,4,1,0,2,Loft,Entire home/apt,110,0,0,flexible,80
Bilgola Plateau,151.3086857,-33.64155718,100,3,5,2000,250,8,3.5,4,4,House,Entire home/apt,0,0,0,strict_14_with_grace_period,372
Saint Leonards,151.1939724,-33.81979764,100,2,1,0,0,2,1,1,2,Apartment,Shared room,0,1,0,strict_14_with_grace_period,45
Manly,151.2833462,-33.79114561,93.41241287,0,7,0,0,1,1,2,1,Apartment,Private room,0,0,0,flexible,51
Balmain,151.1717935,-33.85454736,100,1,5,1500,250,8,3.5,4,1,House,Entire home/apt,0,0,0,flexible,1501
North Balgowlah,151.2443105,-33.78471469,60,1,3,500,100,8,2,4,4,House,Entire home/apt,0,1,0,flexible,375
North Sydney,151.2113817,-33.84083973,80,1,6,250,0,2,1,1,1,House,Private room,0,0,0,strict_14_with_grace_period,72
Cronulla,151.1525505,-34.05976881,93,3,2,0,90,4,1.5,2,3,Apartment,Entire home/apt,0,0,0,moderate,95
Waterloo,151.2119231,-33.89855079,100,1,3,0,70,2,1,2,1,Apartment,Private room,322,0,0,moderate,59
Mascot,151.1890646,-33.9288626,93.41241287,0,7,450,25,2,1,1,1,Apartment,Private room,0,1,0,moderate,45
Woolloomooloo,151.2206742,-33.8700691,91,21,3,1500,210,4,1,2,3,Apartment,Entire home/apt,122,1,0,strict_14_with_grace_period,290
Balgowlah Heights,151.2636035,-33.80240395,100,3,2,0,0,2,1,1,1,Loft,Private room,361,1,0,strict_14_with_grace_period,144
Summer Hill,151.133849,-33.89305237,85,4,1,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,100
Avalon,151.3223574,-33.63672445,97,108,2,0,0,2,1,1,1,Cabin,Entire home/apt,333,1,1,strict_14_with_grace_period,115
Summer Hill,151.1320819,-33.89886133,93.41241287,0,6,0,100,6,2,4,4,House,Entire home/apt,0,0,0,strict_14_with_grace_period,350
Bondi,151.2642067,-33.8973675,80,1,3,0,50,4,2,2,2,Apartment,Entire home/apt,90,0,0,strict_14_with_grace_period,399
Annandale,151.1637855,-33.88682595,95,24,2,250,25,2,1,1,1,House,Private room,95,1,1,flexible,90
Elizabeth Bay,151.2281558,-33.87190355,98,37,2,150,29,2,1,1,1,Apartment,Private room,64,1,0,moderate,143
Manly,151.2800327,-33.79956621,100,4,2,0,100,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,200
Saint Peters,151.171533,-33.91610419,100,6,120,0,0,1,1,1,1,House,Private room,364,1,0,flexible,55
Surry Hills,151.2145665,-33.87894201,93.41241287,1,3,0,70,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,250
Chatswood,151.185814,-33.79568118,93.41241287,0,31,1000,198,2,1,0,1,Apartment,Entire home/apt,328,1,0,flexible,154
Rozelle,151.1740267,-33.86256137,85,8,3,200,120,2,1,0,1,House,Entire home/apt,133,1,0,strict_14_with_grace_period,80
Beacon Hill,151.2646056,-33.74801616,93.41241287,0,1,0,100,6,2,3,3,House,Entire home/apt,0,0,0,flexible,451
Bondi Beach,151.2710189,-33.89079519,100,11,2,500,70,2,1,1,1,Apartment,Private room,99,1,0,strict_14_with_grace_period,90
Rosebery,151.2063004,-33.91227427,93.41241287,0,1,0,0,1,1,0,1,Apartment,Entire home/apt,0,0,0,flexible,100
Coogee,151.2501725,-33.9219912,93.41241287,0,31,900,198,2,1,1,1,Apartment,Entire home/apt,290,1,0,strict_14_with_grace_period,137
Bondi Beach,151.2637407,-33.88970124,93.41241287,0,6,0,120,5,1,2,4,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,230
Bondi Beach,151.2731292,-33.89091436,100,1,2,0,70,2,1,1,1,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
Palm Beach,151.3224718,-33.60069379,100,1,2,500,150,4,2,2,2,Apartment,Entire home/apt,313,0,0,strict_14_with_grace_period,295
Bondi,151.2725356,-33.89623691,93.41241287,0,4,200,40,2,1,1,2,Apartment,Private room,0,1,0,moderate,35
Kingsford,151.2360976,-33.93302743,93.41241287,0,21,0,0,2,2,1,1,House,Private room,0,1,0,strict_14_with_grace_period,30
Bondi Beach,151.2723801,-33.89023843,97,7,1,400,60,4,1,2,2,Apartment,Entire home/apt,0,0,0,moderate,250
Newtown,151.1860054,-33.8942383,93.41241287,0,7,0,0,3,1,2,2,House,Entire home/apt,0,0,0,flexible,100
Fairlight,151.2697788,-33.79627506,93.41241287,0,7,1500,150,8,2.5,5,6,House,Entire home/apt,99,0,0,moderate,370
Annandale,151.1701324,-33.88583608,100,1,7,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,135
Potts Point,151.2209928,-33.87400453,100,2,2,250,0,2,1,0,1,Apartment,Entire home/apt,0,0,0,flexible,120
Bellevue Hill,151.2531243,-33.87367723,88,44,1,0,30,2,1,1,1,Apartment,Private room,298,1,0,moderate,90
Woolloomooloo,151.2182869,-33.87077264,100,13,1,500,80,3,1,1,1,Loft,Entire home/apt,89,1,0,strict_14_with_grace_period,161
Forest Lodge,151.1806537,-33.88048874,95,54,2,800,80,3,1,0,1,Apartment,Entire home/apt,152,0,1,strict_14_with_grace_period,128
Kogarah,151.1322038,-33.96556628,85,8,2,300,100,6,2,2,5,Loft,Entire home/apt,195,1,0,strict_14_with_grace_period,158
Wentworth Point,151.0784909,-33.82666226,87,6,1,200,80,3,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,175
North Bondi,151.2765137,-33.88468898,100,1,1,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,100
Darlinghurst,151.2223281,-33.87721323,90,23,2,0,150,4,1,1,2,Apartment,Entire home/apt,43,1,0,strict_14_with_grace_period,300
Surry Hills,151.2075784,-33.88466073,87,6,3,250,170,2,1,1,1,Apartment,Entire home/apt,142,0,0,strict_14_with_grace_period,150
Canterbury,151.1174067,-33.91180505,97,60,1,350,40,3,1,1,2,Apartment,Private room,300,0,0,strict_14_with_grace_period,57
Little Bay,151.2459141,-33.98346403,100,1,10,0,100,5,3,2,1,House,Entire home/apt,0,0,0,strict_14_with_grace_period,130
Hunters Hill,151.1409974,-33.82670435,100,8,2,0,30,2,1,1,1,House,Private room,173,0,1,moderate,55
Surry Hills,151.2099231,-33.88179792,100,41,90,400,90,3,1,1,2,Apartment,Entire home/apt,365,1,1,strict_14_with_grace_period,221
Neutral Bay,151.2149089,-33.83254348,93.41241287,0,1,500,50,2,2,1,1,Apartment,Private room,365,0,0,flexible,200
Sydney,151.205406,-33.86836809,93,43,5,350,65,2,1,1,1,Apartment,Entire home/apt,286,1,1,strict_14_with_grace_period,140
Potts Point,151.2255578,-33.86880252,100,2,4,0,0,2,1,1,1,Apartment,Entire home/apt,179,0,0,strict_14_with_grace_period,179
Surry Hills,151.2121248,-33.88197203,80,2,4,0,0,6,1,2,2,Apartment,Entire home/apt,0,1,0,flexible,206
Beecroft,151.0518892,-33.74884728,69,9,3,150,30,2,2,0,1,House,Private room,309,1,0,strict_14_with_grace_period,35
North Bondi,151.2793155,-33.88739417,90,5,2,300,60,7,2,3,4,Apartment,Entire home/apt,0,1,0,moderate,800
Paddington,151.2186064,-33.88344382,97,6,2,200,75,2,1,1,1,Townhouse,Entire home/apt,3,0,0,moderate,111
Pyrmont,151.1965246,-33.87181811,93.41241287,0,4,800,200,6,2,3,3,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,1000
Redfern,151.2104188,-33.89394471,93.41241287,0,5,0,0,2,1,1,1,House,Private room,0,1,0,flexible,50
Kirribilli,151.2116996,-33.84228489,98,10,1,0,0,2,1,1,1,Apartment,Private room,19,0,0,strict_14_with_grace_period,59
Hunters Hill,151.1327236,-33.8257534,100,4,2,500,160,7,2,4,4,House,Entire home/apt,164,0,0,strict_14_with_grace_period,399
Randwick,151.2447936,-33.90339759,95,73,1,0,50,2,1,1,1,Guesthouse,Entire home/apt,68,0,0,strict_14_with_grace_period,85
Rushcutters Bay,151.2260976,-33.87465587,93.41241287,0,3,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,74
Sydney Olympic Park,151.0735976,-33.84706191,93.41241287,0,1,0,30,1,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,100
Dover Heights,151.2818341,-33.87112462,100,3,10,0,100,10,1.5,4,6,House,Entire home/apt,129,0,0,strict_14_with_grace_period,395
Rosebery,151.2096889,-33.91616911,93.41241287,0,15,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,43
North Balgowlah,151.2509952,-33.78573515,94,7,1,0,15,3,1,1,2,Bed and breakfast,Private room,0,0,0,moderate,80
Surry Hills,151.2164129,-33.88470931,91,25,4,0,0,3,1,1,2,Apartment,Entire home/apt,85,0,0,strict_14_with_grace_period,159
Cronulla,151.1505213,-34.04986199,97,7,1,0,7,2,1,1,1,Apartment,Private room,55,0,0,flexible,53
Randwick,151.2421074,-33.91301902,100,2,1,0,0,1,1,1,1,Townhouse,Private room,0,0,0,moderate,42
Manly,151.2882251,-33.80125914,91,28,2,0,0,2,1,1,1,Apartment,Private room,340,0,0,strict_14_with_grace_period,89
Fairlight,151.2715841,-33.79756886,97,45,3,0,100,2,1,1,1,Apartment,Entire home/apt,159,0,1,moderate,169
Bondi Junction,151.2509029,-33.89531107,90,4,14,0,150,1,1,1,1,House,Private room,0,1,0,flexible,73
Enmore,151.1746995,-33.90007645,100,1,21,0,50,6,1,2,3,Apartment,Entire home/apt,2,1,1,moderate,200
Epping,151.0898817,-33.77086231,100,2,3,125,25,1,2,1,1,House,Private room,0,0,0,strict_14_with_grace_period,45
Bondi Beach,151.2717849,-33.89047913,93,4,2,500,88,4,1,2,2,Apartment,Entire home/apt,7,1,0,strict_14_with_grace_period,150
North Ryde,151.1230414,-33.79813006,96,6,1,0,15,2,1,1,1,House,Private room,0,0,0,flexible,74
Newtown,151.1803668,-33.90155727,91,38,4,0,0,4,1,1,2,House,Entire home/apt,0,1,0,strict_14_with_grace_period,99
Lindfield,151.1765682,-33.77161898,93.41241287,1,7,500,120,8,3,5,8,House,Entire home/apt,0,0,0,strict_14_with_grace_period,250
